jpn	일본어	日本語
chs	简体中文	简体中文
cht	繁體中文	繁體中文
elara	엘라라	Elara
zoe	조이	Zoe
katrina	카트리나	Katrina
walter	월터	Walter
liam	리암	Liam
sana	사나	Sana
nora	노라	Nora
kaya	카야	Kaya
kushana	쿠샤나	Kushana
ivan	이반	Ivan
larry	래리	Larry
chesca	체스카	Chesca
nerissa	네리사	Nerissa
father	아버지	Father
mother	어머니	Mother
son	아들	Son
daughter	딸	Daughter
grandfather	할아버지	Grandfather
grandmother	할머니	Grandmother
man	남성	Man
woman	여성	Woman
boy	소년	Boy
girl	소녀	Girl
oldman	노인	Old Man
oldwoman	노파	Old Woman
doctor	의사	Doctor
parson-1	한 명	One Person
parson-2	두 명	Two People
parson-3	세 명	The three girls' or 'Elara, Zoe, and Katrina'
parson-4	네 명	Four People
parson-5	다섯 명	Five People
sleepiness	의식	Vigor
happiness	행복	Satisfaction
fearfulness	공포	Fear
sadness	비애	Sadness
gold-key	금 열쇠	Golden Key
silver-key	은 열쇠	Silver Key
bronze-key	동 열쇠	Bronze Key
blue-key	파란 열쇠	Blue Key
yellow-key	노란 열쇠	Yellow Key
red-key	빨간 열쇠	Red Key
green-key	초록 열쇠	Green Key
black-key	검은 열쇠	Black Key
whilte-key	흰 열쇠	White Key
memory-key	기억의 열쇠	Memory Key
level-greenhouse	식물원	Greenhouse
level-classroom	교실	Classroom
level-western	서양식 방	Old-fashioned Room
level-laundry	코인 세탁방	Coin Laundry
level-kidsroom	아이 방	Children's Room
level-train	전철	Train
level-cafe	찻집	Café
level-museum	박물관	Museum
level-conferenceroom	회의실	Council Room
level-apartment-corridor	복도	Hallway
level-apartment-room	서재	Study
level-hospital	병원	Hospital
level-spaceship-hall	냉동 수면실	Cryosleep Hall
level-spaceship-corridor	통로 모듈	Corridor Module
level-spaceship-bridge	조종실	Ship Bridge
item-helmet	헬멧	Helmet
item-book	양장본	Hardcover Book
item-seed	식물 씨앗	Plant seeds
item-syringe	주사기	Syringe
item-watch	손목시계	Wristwatch
item-doll	인형	Doll
item-coffee	커피	Coffee
item-mask	방독면	Respirator
item-audio	녹음기	Recorder
item-pistol	권총	Gun
item-computure	소형 단말기	Transmission Device
item-shovel	삽	Shovel
item-toolbox	공구함	Toolbox
item-camera	카메라	Camera
item-idcard	ID 카드	I.D. Card
token-donut	도넛	Donut
token-cleaner	청소 로봇	Cleaning Robot
token-eat	식사	Food
token-body	육체	Bodies
token-earth	지구	Earth
token-separation	이별	Separation
token-culture	문화	Culture
token-change	변화	Change
token-friend	친구	Friends
token-school	학교	School
token-bacteria	세균	Bacteria
token-vaccine	백신	Vaccines
token-cluster	클러스터	Cluster
